definition_id,term,text,footnote_ids,requires_definitions,status
d-armed-conflict,Armed Conflict,"A situation involving either (i) the resort to armed force between two or more States, regardless of intensity or duration (known as an Armed Conflict), or (ii) protracted armed violence between a State and one or more organized non-State armed groups, or between such groups, where the violence reaches a sufficient level of intensity and the parties possess organized armed groups (non-international Armed Conflict).",fn-31|fn-32,,published
d-civilian-objects,Civilian Objects,"All objects that are not Military Objectives. International Humanitarian Law prohibits acts of violence, attacks, and reprisals against Civilian Objects. For the purposes of this Agreement, Civilian Objects include internet and communications infrastructure, such as routers, undersea cables, Internet Service Providers (ISPs), and data centers – including those used for civilian communications, finance, education, and healthcare. Civilian Objects remain civilian in nature unless and until they make an effective contribution to military action and their destruction offers a definite military advantage.",fn-33|fn-34|fn-35,d-military-objective,published
d-confidence-building-measures-cbms,Confidence Building Measures (CBMs),"Actions or mechanisms undertaken by Parties to enhance trust, transparency, and predictability. CBMs can promote stability and help to reduce the risk of misunderstanding and conflict. Examples of CBMs may include establishment of points of contact between cyber incident response teams, notification of high-risk cyber activities, or voluntary reporting of potential breaches.",fn-37,,published
d-cyber-attack,Cyber Attack,"Cyber Attack is a Cyber Operation that results in the damage or destruction of objects or the injury or death of people. Such operations do not need to have a direct impact on objects or people and can be considered an attack even if the impact is indirect, provided there is a reasonably foreseeable causal link between the operation and the harm caused. For the purposes of this Agreement, a Cyber Attack may include disabling the functionality of the target itself, even if no physical damage is caused. A Cyber Attack may include Cyber Operations aimed at obtaining unauthorized access to information, if that action causes injury or death to persons or damage or destruction to objects. For the purposes of this Agreement, an attack on Data that results in destruction or death also qualifies as a Cyber Attack.",fn-38|fn-39|fn-40|fn-41|fn-42|fn-43,d-cyber-operation|d-data,published
d-cyber-operation,Cyber Operation,"A Cyber Operation refers to any act conducted through or against a computer network or system, including software, hardware, and Data, that is intended to achieve objectives in or through Cyberspace.",,d-data|d-cyberspace,published
d-cyberspace,Cyberspace,"The global, interconnected domain made up of Digital networks, information and communication technologies, and the Data that flows through them, including the infrastructure and systems that enable Digital communication, storage, and computation.",fn-44,d-digital|d-data,published
d-cyber-mercenaries,Cyber Mercenaries,"Companies or individuals that develop, sell, and/or support offensive cyber capabilities which enable a Party to access the networks, computers, phones, or internet-connected devices of another Party.",fn-45,,published
d-data,Data,"Information stored, processed, or transmitted in Digital form, typically using computers or networks, and may include files, databases, communications, metadata, software, and system configurations.",,d-digital,published
d-denial-of-service-attack-dos,Denial of Service Attack (DoS),"A malicious attempt to flood a targeted adversary’s network, system, or service with excessive incoming traffic or requests from many different sources to overload and potentially take the network offline, making it unavailable for its intended users. A Distributed Denial of Service Attack (Ddos) is a DoS attack that uses multiple computers or machines to flood a targeted source.",,,published
d-deepfake,Deepfake,"Synthetic or AI-manipulated audio, visual, or audiovisual media intentionally created to deceive viewers into believing that fabricated or altered voices, images, videos, or events are authentic, thereby misleading viewers into thinking that something occurred when it did not.",,,published
d-digital,Digital,"Electronic systems, devices, or processes that rely on computing technology, software, and data networks for communication, automation, and/or interaction. This can include hardware, software, Data, and Digital services, as well as activities carried out in or through Cyberspace. Digital encompasses all forms of information that are stored, transmitted, or manipulated in binary form (i.e., using 0s and 1s).",fn-46,d-data|d-cyberspace,published
d-digital-infrastructure,Digital Infrastructure,"Hardware, software, networks, and Data systems that enable Digital Operations and Digital communications. This includes physical components, such as servers, cables, routers, and satellites, as well as logical and functional components, such as software, platforms, and protocols enabling services and Data exchange.",fn-47,d-data|d-digital,published
d-digital-peace,Digital Peace,When Parties are not engaged in Prohibited Digital Operations with other Parties to this Agreement.,,d-prohibited-digital-operations,published
d-disinformation,Disinformation,"Deliberately misleading or inaccurate information that is intended to deceive and is shared in order to do serious reputational, financial, legal, psychological, or physical injury to persons or result in the damage or destruction of Civilian Objects or Military Objects. This includes information that intends to influence public opinion or obscure the truth. Irony, satire, parody, or humour that seeks to question or ridicule are not forms of Disinformation.",fn-48|fn-49|fn-50|fn-51,d-civilian-objects,published
d-doxxing,Doxxing,"The act of exposing private or identifying information on the internet about an individual or group without the individual’s or group’s consent, usually with malicious intent.",fn-52,,published
d-dual-use,Dual-Use,"Objects, facilities, Data, or infrastructure, that can be used for both civilian and military purposes. Dual-Use technologies can be used by civilians for peaceful means while also being adaptable for warfare, intelligence, or weapons development.",,d-data,published
d-electronic-jamming,Electronic Jamming,"A form of electronic warfare in which an actor deliberately emits radio-frequency or other electromagnetic energy to overwhelm, confuse, or block the reception of signals used for communication, navigation, sensing, or control.",,,published
d-grey-zone,Grey Zone,"The space in which State or non-State actors engage in coercive, hostile, or destabilizing activities that do not amount to a use of force under Article 2(4) of the UN Charter or do not meet the threshold of Armed Conflict under International Humanitarian Law. Such operations are often legally ambiguous and designed to avoid triggering a conventional military response, as they do not amount to an “armed attack” under Article 51 of the UN Charter. Additionally, International Humanitarian Law does not apply in the Grey Zone, unless activities are sufficiently connected to, or escalate into, an Armed Conflict. Other legal frameworks, including International Human Rights Law and International Criminal Law (excluding war crimes), continue to apply.",fn-55|fn-56,d-armed-conflict,published
d-hacking,Hacking,"Obtaining unauthorized access to or manipulating Data, systems, networks, or devices, including through the exploitation of vulnerabilities.",,d-data,published
d-hate-speech,Hate Speech,"Any kind of communication in speech, writing or behaviour, that attacks or uses pejorative or discriminatory language with reference to a person or a group on the basis of who they are, based on their religion, ethnicity, nationality, race, colour, descent, gender, sexual orientation, disability, political affiliation, or other identity factor. The internet and social media platforms are used to spread Hate Speech and incite violence, including atrocity crimes.",fn-57|fn-58,,published
d-information-and-communications-technology-companies,Information and Communications Technology Companies,"Companies that develop, operate, or provide Digital technologies and infrastructure used to capture, transmit, or display electronic Data or information.",fn-59,d-digital|d-data,published
d-information-threat,Information Threat,"The use or dissemination of information that is false, misleading, manipulated, or otherwise weaponized in a manner that is intended, or reasonably likely, to cause harm. In this Handbook, Information Threats include Misinformation, Disinformation, Hate Speech, Online Incitement to Violence, Deepfakes, Doxxing, and Online Recruitment.",fn-60,d-misinformation|d-disinformation|d-hate-speech|d-online-incitement-to-violence|d-deepfake|d-doxxing|d-online-recruitment,published
d-internal-disturbance,Internal Disturbance,"Situations of serious internal disorder involving acts of violence, such as riots or sporadic acts of violence, which do not amount to an Armed Conflict. International Humanitarian Law does not apply here but other forms of International Law, including International Human Rights Law, remain applicable.",fn-61,d-armed-conflict,published
d-internet-interference,Internet Interference,"Deliberate disruptions or restriction of access to internet services or Digital communications. In this Handbook, Internet Interference includes Internet Shutdowns, Internet Infrastructure Attacks, and Throttling.",fn-62,d-digital|d-internet-shutdown|d-internet-infrastructure-attacks|d-throttling,published
d-internet-shutdown,Internet Shutdown,"An intentional disruption of internet or electronic communications, rendering the internet or electronic communications inaccessible or effectively unusable, for a specific population or within a specific location, often to exert control over the flow of information.",fn-63,,published
d-internet-infrastructure-attacks,Internet Infrastructure Attacks,"Physical or virtual acts directed against the technical infrastructure that enables the functioning, routing, or transmission of the internet or other Digital communications, including radio transmission towers, fibre-optic and undersea cables, satellites, internet exchange points, routing systems, and associated hardware or software, that are intended or reasonably expected to disrupt, degrade, disable, or manipulate connectivity or communication flows.",,d-digital,published
d-malware-malicious-software,Malware / Malicious Software,"Any software or code intentionally designed to or reasonably expected to disrupt, damage, degrade, or gain unauthorized access to a computer system, device, server Data, or network. Malware includes, but is not limited to, viruses, worms, Trojan horses, ransomware, Spyware, adware, and other forms of malicious code.",fn-64,d-data|d-spyware,published
