law_id,group,text,footnote_ids,requires_definitions,applies_to,status
l-il-01,International Law,"The Parties agree to full compliance with International Law, including International Humanitarian Law, International Criminal Law, and International Human Rights Law.",,,ac|gz|id,published
l-il-02,International Law,"The Parties agree that the same rights people have offline must also be protected online. The Parties shall respect and ensure the rights of individuals including their rights to freedom of expression, access to information, and privacy.",fn-79,,ac|gz|id,published
l-il-03,International Law,"The Parties agree to uphold these obligations unconditionally, regardless of whether other Parties do so.",,,ac|gz|id,published
l-il-04,International Law,"The Parties agree that the prohibition on the threat or use of force under UN Charter Article 2(4) applies to Digital acts. Digital acts that cause death or injury to persons, or physical damage to or destruction of objects, ordinarily constitute a use of force. Digital acts that do not result in such physical effects may still constitute a use of force or a prohibited intervention under International Law depending on their scale and effects.",fn-80|fn-81|fn-82|fn-83,d-digital,ac|gz|id,published
l-il-05,International Law,"The Parties agree that International Law applies to Cyberspace and undertake to be bound by its obligations, including the principles of sovereignty, non-intervention, and the peaceful settlement of disputes.",fn-84,d-cyberspace,ac|gz|id,published
l-il-06,International Law,The Parties agree to implement the 11 voluntary norms that constitute responsible state behavior in Cyberspace.,fn-85,d-cyberspace,ac|gz|id,published
l-il-07,International Law,"The Parties agree that when determining whether Digital acts constitute an unlawful use of force, they will be guided by the customary international law prohibition on the use of force, as reflected in UN Charter Article 2(4), and will assess whether the scale and effects of the Digital act are comparable to those of a non-Digital operation that would constitute a use of force, taking into account all relevant circumstances.",fn-86|fn-87|fn-88,d-digital,ac|gz|id,published
l-il-08,International Law,"The Parties agree that the right of self-defense under UN Charter Article 51 may be invoked in response to Digital acts that constitute an armed attack. Whether a Digital act constitutes an armed attack is assessed on a case-by-case basis with reference to its scale and effects, including whether those effects are comparable to a kinetic armed attack (e.g., severe suffering, death, significant physical damage, or destruction).",fn-89,d-digital,ac|gz|id,published
l-il-09,International Law,"The Parties agree that the conduct of non-State actors, including Proxy Actors and Third Parties to the conflict, engaged in Digital acts or other acts in connection with an Armed Conflict is attributable to a State where that State directed or exercised effective control over the specific conduct in question.",fn-90|fn-91|fn-92,d-proxy-actors|d-digital|d-armed-conflict,ac|gz|id,published
l-il-10,International Law,The Parties recognize that Digital acts may amount to or contribute to the existence of an Armed Conflict where the applicable legal thresholds are met.,fn-93,d-digital|d-armed-conflict,ac|gz|id,published
l-il-11,International Law,The Parties agree that civilians who engage in Digital acts supporting a Party to the Armed Conflict may lose protection from attack for such time as their conduct amounts to direct participation in hostilities (DPH).,fn-94,d-digital|d-armed-conflict,ac|gz|id,published
l-il-12,International Law,"The Parties agree that the principles of sovereignty and non-intervention can be breached if Digital acts are coercive and intrude on a State’s domestic jurisdiction, including command over elections, public order, or essential governmental functions.",fn-95,d-digital,ac|gz|id,published
l-il-13,International Law,"The Parties agree that when determining whether Digital acts constitute a prohibited intervention in a state’s internal affairs, they will be guided by the International Court of Justice decision, *Nicaragua v. United States* (1986).",fn-96,d-digital,ac|gz|id,published
l-ihl-01,IHL,"The Parties agree that International Humanitarian Law applies fully to Digital acts conducted during, in connection with, or in support of an Armed Conflict.",fn-97,d-digital|d-armed-conflict,ac,published
l-ihl-02,IHL,"The Parties agree that International Humanitarian Law governs all means and methods of warfare, regardless of technological form.",fn-98,,ac,published
l-ihl-03,IHL,"The Parties agree that the International Humanitarian Law principles of distinction, proportionality, precautions in attack, humanity, military necessity, and the prohibition on unnecessary suffering constrain Digital acts in Armed Conflict.",fn-99,d-digital|d-armed-conflict,ac,published
l-ihl-04,IHL,The Parties agree that International Humanitarian Law applies to Cyberspace.,fn-100,d-cyberspace,ac,published
l-ihl-05,IHL,"The Parties agree that Cyber Attacks constitute “attacks” under International Humanitarian Law when they are reasonably expected to cause injury or death to persons, or physical damage to or destruction of objects, including the loss of functionality of critical systems.",,d-cyber-attack,ac,published
l-ihl-06,IHL,"The Parties agree that the requirement to distinguish between civilian and military objects in International Humanitarian Law applies to Digital Infrastructure including networks, Data, software, servers, and cloud systems.",fn-101,d-digital-infrastructure|d-data,ac,published
l-ihl-07,IHL,"The Parties recognize that Data like medical records, population registries, and humanitarian beneficiary information warrant protection under International Humanitarian Law, in particular where it is essential to civilian life.",,d-data,ac,published
l-ihl-08,IHL,The Parties agree that targeting hospitals and humanitarian relief organizations with Digital acts is prohibited under International Humanitarian Law.,fn-102,d-digital,ac,published
l-ihl-09,IHL,The Parties agree that attacks on the following infrastructure are prohibited under International Humanitarian Law: drinking water installations and irrigation systems; dams and other objects that can release dangerous forces; and electrical generating systems and other nuclear infrastructure.,fn-103|fn-104,,ac,published
l-ihl-10,IHL,The Parties agree that disruptions to the core of the internet are prohibited under International Humanitarian Law and to refrain from Cyber Attacks that disrupt its functionality.,fn-105,d-cyber-attack,ac,published
l-icl-01,ICL,"The Parties agree that International Criminal Law, including the Rome Statute, applies to conduct involving Digital acts where such conduct meets the elements of crimes under applicable law.",,d-digital,ac|gz|id,published
l-icl-02,ICL,"The Parties agree that International Criminal Law, including the Rome Statute, applies to conduct involving Cyber Attacks.",,d-cyber-attack,ac|gz|id,published
l-ihrl-01,IHRL,"The Parties affirm that International Human Rights Law applies at all times, including during peacetime as well as Armed Conflict, Grey Zone activities, and Internal Disturbance.",fn-106,d-armed-conflict|d-grey-zone|d-internal-disturbance,ac|gz|id,published
l-ihrl-02,IHRL,"The Parties agree that Internet Shutdowns and the targeted suspension of social media platforms, including during protests, are inconsistent with International Human Rights Law, including the rights to freedom of expression, access to information, assembly, and association.",,d-internet-shutdown,ac|gz|id,published
l-ihrl-03,IHRL,"The Parties further agree that Surveillance measures, including Spyware, monitoring systems, Data interception, and mass Data collection, must comply with the human rights principles of legality, necessity, proportionality, and effective oversight to be lawful.",fn-107,d-surveillance|d-spyware|d-data,ac|gz|id,published
